"Genre","Salaire base mensuel (Mean)","Salaire variable en € (Mean)","Salaire_TOTAL (Mean)"
"Femme",5267.084157600003,1030.1531546319998,6297.2373122320005
"Homme",5383.254355725189,1103.4745252824423,6486.728881007634
