Zone,Disponibilité alimentaire (Kcal/personne/jour),Balance Commerciale,Exportations - Quantité,Importations - Quantité,Production,Variation de stock,Population total,"Pib Per hab (2018, $)",Stabilité politique
Inde,7.0,4.0,4.0,0.0,3545.0,-119.0,1352642280.0,1974.38,-0.96
Indonésie,25.0,-1.0,0.0,1.0,2301.0,-21.0,267670543.0,3902.66,-0.53
Iran (République islamique d'),96.0,39.0,45.0,6.0,2174.0,-86.0,81800188.0,3874.0,-1.31
Iraq,52.0,-470.0,0.0,470.0,96.0,0.0,38433600.0,5601.47,-2.56
Irlande,100.0,-6.0,93.0,99.0,110.0,-12.0,4818690.0,79250.39,1.03
Islande,104.0,-2.0,0.0,2.0,10.0,1.0,336713.0,74461.48,1.41
Israël,234.0,3.0,3.0,0.0,629.0,-10.0,8381516.0,42406.85,-0.93
Italie,65.0,86.0,183.0,97.0,1315.0,56.0,60627291.0,34622.17,0.31
Jamaïque,178.0,-30.0,1.0,31.0,128.0,7.0,2934847.0,5594.49,0.49
Japon,67.0,-1059.0,10.0,1069.0,2215.0,859.0,127202192.0,39727.12,1.06
Jordanie,98.0,-54.0,10.0,64.0,210.0,-10.0,9965318.0,4146.41,-0.38
Kazakhstan,61.0,-168.0,6.0,174.0,171.0,8.0,18319618.0,9812.63,0.0
Kenya,2.0,0.0,0.0,0.0,35.0,0.0,51392565.0,1845.78,-1.16
Kirghizistan,11.0,-25.0,0.0,25.0,7.0,-1.0,6304030.0,1308.14,-0.58
Kiribati,63.0,-1.0,0.0,1.0,1.0,0.0,115847.0,1605.01,1.03
Koweït,156.0,-133.0,4.0,137.0,56.0,0.0,4137312.0,32007.52,0.11
Lesotho,27.0,-15.0,0.0,15.0,2.0,1.0,2108328.0,1161.73,-0.22
Lettonie,72.0,-23.0,20.0,43.0,33.0,16.0,1928459.0,17865.03,0.42
Liban,38.0,-9.0,4.0,13.0,64.0,0.0,6859408.0,9225.85,-1.64
Libéria,36.0,-48.0,0.0,48.0,15.0,12.0,4818973.0,700.04,-0.19
Lituanie,96.0,24.0,68.0,44.0,118.0,12.0,2801264.0,19186.36,0.75
Luxembourg,69.0,-10.0,1.0,11.0,0.0,0.0,604245.0,116786.51,1.37
Macédoine du Nord,68.0,-39.0,1.0,40.0,2.0,0.0,2082956.9999999998,6108.74,-0.2
Madagascar,14.0,0.0,0.0,0.0,81.0,0.0,26262313.0,512.54,-0.52
Malaisie,142.0,-24.0,44.0,68.0,1724.0,128.0,31528033.0,11074.06,0.24
Malawi,17.0,0.0,0.0,0.0,130.0,33.0,18143217.0,537.93,-0.33
Maldives,47.0,-12.0,0.0,12.0,0.0,0.0,515696.0,10823.64,0.1
Mali,9.0,-1.0,0.0,1.0,48.0,-4.0,19077749.0,856.36,-2.05
Malte,103.0,-9.0,0.0,9.0,4.0,-1.0,439248.0,31567.94,1.29
Maroc,70.0,-2.0,1.0,3.0,762.0,17.0,36029093.0,3492.67,-0.33
Maurice,128.0,-2.0,0.0,2.0,48.0,0.0,1267185.0,11645.98,0.87
Mauritanie,11.0,-24.0,0.0,24.0,5.0,6.0,4403313.0,1749.95,-0.67
Mexique,123.0,-963.0,9.0,972.0,3249.0,-6.0,126190788.0,9857.03,-0.57
Mongolie,9.0,-10.0,0.0,10.0,0.0,1.0,3170216.0,4165.02,0.79
Monténégro,55.0,-8.0,0.0,8.0,4.0,1.0,627809.0,8850.09,0.11
Mozambique,13.0,-24.0,0.0,24.0,92.0,-1.0,29496004.0,504.54,-0.78
Myanmar,116.0,-3.0,0.0,3.0,1662.0,-1.0,53708320.0,1274.92,-1.31
Namibie,40.0,-17.0,12.0,29.0,11.0,0.0,2448301.0,5687.4,0.65
Nicaragua,93.0,-6.0,0.0,6.0,143.0,11.0,6465501.0,1981.86,-0.8
Niger,3.0,-3.0,0.0,3.0,19.0,0.0,22442822.0,567.33,-1.26
Nigéria,2.0,0.0,0.0,0.0,201.0,0.0,195874683.0,2125.83,-2.19
Norvège,66.0,-2.0,0.0,2.0,101.0,1.0,5337962.0,82267.81,1.15
Nouvelle-Calédonie,136.0,-9.0,0.0,9.0,1.0,-1.0,279993.0,36312.73,0.11
Nouvelle-Zélande,140.0,22.0,23.0,1.0,223.0,32.0,4743131.0,43250.44,1.54
Népal,7.0,0.0,0.0,0.0,58.0,0.0,28095714.0,1161.53,-0.63
Oman,73.0,-110.0,16.0,126.0,7.0,2.0,4829473.0,19887.57,0.65
Ouganda,5.0,0.0,0.0,0.0,65.0,0.0,42729036.0,793.13,-0.69
Ouzbékistan,6.0,0.0,0.0,0.0,0.0,0.0,32476244.0,1597.07,-0.28
Pakistan,20.0,2.0,4.0,2.0,1281.0,-3.0,212228286.0,1620.74,-2.27
Panama,117.0,-20.0,0.0,20.0,198.0,25.0,4176868.9999999995,15588.34,0.28
Paraguay,22.0,3.0,4.0,1.0,45.0,0.0,6956066.0,6242.96,-0.12
Pays-Bas,70.0,810.0,1418.0,608.0,1100.0,-82.0,17059560.0,53044.53,0.87
Philippines,48.0,-247.0,2.0,249.0,1272.0,-3.0,106651394.0,3194.67,-1.12
