Zone;Pib Per hab (2018, $)
Somalie;379.986002695329
Serbie;7252.40185773992
Afrique subsaharienne (hors revenu élevé);1622.22153440765
Afrique subsaharienne;1623.57574312287
Petits états;12808.1908837461
Sao Tomé-et-Principe;1950.62935180937
Suriname;6730.84688296393
Slovaquie;19486.3936845505
Slovénie;26123.7471277911
Suède;54589.0603860606
Eswatini;4020.27305022394
Sint Maarten (Dutch part);28988.2592085877
Seychelles;16910.6881816609
République arabe syrienne;1104.39244843571
Îles Turques-et-Caïques;26831.9714609396
Tchad;720.265046964353
Asie de l’Est et Pacifique (BIRD et IDA);8032.79890886331
Europe et Asie centrale (BIRD et IDA);8870.39704955585
Togo;883.867832307256
Thaïlande;7124.56454354255
Tadjikistan;850.668507459992
Turkménistan;6721.34954037245
Amérique latine et Caraïbes (BIRD et IDA);8754.29326776485
Timor-Leste;1239.36612167153
Afrique du Nord et Moyen-Orient (BIRD et IDA);3490.36720402876
Tonga;4649.5793900131
Asie du Sud (BIRD et IDA);1920.20839576082
Afrique subsaharienne (BIRD et IDA);1623.57574312287
Trinité-et-Tobago;16164.1613326627
Tunisie;3577.12441191204
Turquie;9400.77821401543
Tuvalu;4401.13120074687
République-Unie de Tanzanie;1010.93762207031
Ouganda;793.128081123392
Ukraine;3096.56176757813
Revenu intermédiaire, tranche supérieure;9435.78082781379
Uruguay;18825.2838068916
États-Unis d'Amérique;62823.309438197
Ouzbékistan;1597.0683366109
Saint-Vincent-et-les Grenadines;8399.69401112437
Îles Vierges (EU);36653.8630480089
Viet Nam;3267.22500852051
Vanuatu;3076.8353148388
Monde;11284.1832543774
Samoa;4188.98853207466
Kosovo;4384.0488917319
Yémen;701.714877767947
Afrique du Sud;7048.52221139611
Zambie;1475.20453821416
Zimbabwe;2269.17701232332
Venezuela (République bolivarienne du);3534
République populaire démocratique de Corée;1210
Chine, Taiwan Province de;25826
